eventId,speakerId,text
episode0_first_illegal_procurement,narrator,下層地区　某所
episode0_first_illegal_procurement,mara,あんた、自分が何に足踏み入れようとしてるかわかってるのかい？
episode0_first_illegal_procurement,operator,わたしにはもう他に選択肢は残されていない。
episode0_first_illegal_procurement,mara,あんたが始めようとしてるのはお遊びじゃないんだ。うまく行くやつは一握り。
episode0_first_illegal_procurement,mara,その他大勢はみーんなお縄さ。
episode0_first_illegal_procurement,operator,……。
episode0_first_illegal_procurement,operator,お喋りは得意じゃないんだ。とにかく、売ってくれ。能力は示す。
episode0_first_illegal_procurement,mara,頑固なやつだね。年寄りの老婆心ってやつだよ。
episode0_first_illegal_procurement,mara,いいだろう。売ってやるさ。
episode0_first_illegal_procurement,mara,水耕栽培用のポッドをあんたに手配する。管理局の監視スケジュールの都合で数日は見ておいてくれ。
episode0_first_illegal_procurement,mara,種はレタスでいいかね
episode0_first_illegal_procurement,operator,感謝する。レタスは好きだ。
episode0_first_illegal_procurement,mara,適当言うんじゃないよ。
episode0_first_illegal_procurement,mara,"あんた見たところハタチそこそこ。
旧世界を知らないだろ？"
episode0_first_illegal_procurement,operator,…直接は知らない。だが、これがある。
episode0_first_illegal_procurement,operator,[[image:assets/Item/The Book.png|旧世界の古い園芸入門書]]
episode0_first_illegal_procurement,mara,……。
episode0_first_illegal_procurement,mara,わかったからそいつをしまいな。
episode0_first_illegal_procurement,mara,年寄りを少しは気遣ってくれ。心臓が止まりかけたよ。
episode0_first_illegal_procurement,mara,そいつをどこで手に入れた？
episode0_first_illegal_procurement,operator,詳しくは言えない。古い友人から譲り受けたものだ。
episode0_first_illegal_procurement,mara,……。
episode0_first_illegal_procurement,mara,"旧世界の植物の本、しかも植物栽培の本なんて禁制中の禁制だ。
持ち歩くなんて正気を疑うね。"
episode0_first_illegal_procurement,operator,…種子の保管ボトルを体中に下げてるあんたに言われる筋合いはないな。
episode0_first_illegal_procurement,mara,こいつは老い先短いばばあの唯一の癒しさ…。
episode0_first_illegal_procurement,mara,とにかく今日は帰んな。
episode0_first_illegal_procurement,mara,「荷物」が届くまで、最後の平穏を楽しむんだね。
episode0_first_illegal_procurement,mara,食糧生産、とりわけ植物栽培はどんなものであれ一級のご法度。
episode0_first_illegal_procurement,mara,受け取った瞬間からあんたに安らぎの時間は来ないよ。
episode0_first_illegal_procurement,mara,法と治安組織はあんたを守る盾じゃなくて、２４時間脅かす影になるのさ。
episode0_first_illegal_procurement,operator,明日食うレタスを自分で作ることが悪いことだとは思わない。
episode0_first_illegal_procurement,operator,この終末の世界で、えらい奴らが勝手に決めたルールに縛られるつもりもない。
episode0_first_illegal_procurement,mara,威勢は良いが…まあ、頑張んな。
episode0_first_illegal_procurement,mara,……
episode0_first_illegal_procurement,operator,……
episode0_first_illegal_procurement,narrator,（会話が終わってしばらくした後）
episode0_first_illegal_procurement,support_robot,んん！　どうやら、新しい働き口の予感がしますね～
episode0_first_illegal_procurement,support_robot,ロボットたちに労働と権利を！
episode0_first_illegal_procurement,support_robot,すたこらすたこら～♪
story_market_medical_unlocked,narrator,ある時、拠点に珍しい来客があった。
story_market_medical_unlocked,doctor_io,あなたの作物サンプルを確認しました。品質・汚染度合いもクリア。良い品です。
story_market_medical_unlocked,doctor_io,医療区画にも作物を流してもらいたい。
story_market_medical_unlocked,operator,医療区画が、そんな危ない橋を渡るのか。
story_market_medical_unlocked,operator,こちらは未登録だぞ？
story_market_medical_unlocked,doctor_io,……。
story_market_medical_unlocked,doctor_io,この社会では、闇に手を染めない人間はいません。
story_market_medical_unlocked,doctor_io,まともであればあるほどに。
story_market_medical_unlocked,doctor_io,とにかく、治療とケアに使える植物を扱えるなら医療区画は相応の対価を提示します。
story_market_medical_unlocked,doctor_io,カモミールとローズマリーが、特に必要です。
story_market_medical_unlocked,operator,いいだろう。顧客が多いに越したことはない。
story_market_medical_unlocked,operator,接続を保持する。
story_property_broker_unlocked,narrator,ある時、拠点を訪れたのは、かつて見た顔だった。
story_property_broker_unlocked,kido,ずいぶんと手狭になったのではないですか？　
story_property_broker_unlocked,kido,この狭いセーフルームをご提供した時に比べると随分とご活躍のようです。
story_property_broker_unlocked,operator,見ていたのか。
story_property_broker_unlocked,kido,いいえ、何も。私はなにも見ていませんよ。
story_property_broker_unlocked,kido,今後も、わたしの前で間違っても「種子」とか「レタス」なんてものは見せないことです。
story_property_broker_unlocked,kido,ところで、そろそろ新しい拠点が欲しい頃合いじゃないですか？
story_property_broker_unlocked,kido,表の台帳には載らない区画を紹介できます。広さも癖も、値段もそれぞれです。
story_property_broker_unlocked,operator,拠点を増やせば、作れるものも増える。置けないものも置けるようになる。それだけ大規模にやれるだろう。
story_property_broker_unlocked,kido,え？作る？　今何か言いましたか？
story_property_broker_unlocked,kido,とにかく、ご入用の際にはわたくしにご連絡を。
story_property_broker_unlocked,operator,わかった。
story_market_upper_unlocked,narrator,謎の男からコンタクトを受け、出向いた先にいたのは不思議な人物だった。
story_market_upper_unlocked,sera,あなた、下で面白いものを育てているそうね。
story_market_upper_unlocked,operator,なんのことだ？
story_market_upper_unlocked,sera,とぼけないでいいわ。あなたも察しているんでしょう。
story_market_upper_unlocked,operator,上層には十分な配給があるはずだ。それこそ肉や野菜だってあるだろう。
story_market_upper_unlocked,sera,ええもちろん。でもね、わたしたちには希少性という調味料が必要なの。
story_market_upper_unlocked,operator,……。
